           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2015-11-02T02:28:58Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:29:18Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:29:38Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:29:58Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:30:18Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:30:38Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:30:58Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:31:18Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:31:38Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:31:58Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:32:18Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:32:38Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:32:58Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:33:18Z          31          26            5             0(0)       0(0)             0             0        87749        229376         1.33          17           6
2015-11-02T02:33:38Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:33:58Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:34:18Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:34:38Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:34:58Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:35:18Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:35:38Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:35:58Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:36:18Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:36:38Z          31          26            5             0(0)       0(0)             0             0        87872        229376         1.33          17           6
2015-11-02T02:36:58Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:37:18Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:37:38Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:37:58Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:38:18Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:38:38Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:38:58Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:39:18Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:39:38Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:39:58Z          31          26            5             0(0)       0(0)             0             0        87994        229376         1.33          17           6
2015-11-02T02:40:18Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:40:38Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:40:58Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:41:18Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:41:38Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:41:58Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:42:18Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:42:38Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:42:58Z          31          26            5             0(0)       0(0)             0             0        88116        229376         1.33          17           6
2015-11-02T02:43:18Z          31          26            5             0(0)       0(0)             0             0        88232        229376         1.33          17           6
2015-11-02T02:43:38Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:43:58Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:44:18Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:44:38Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:44:58Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:45:18Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:45:38Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:45:58Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:46:18Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:46:38Z          31          26            5             0(0)       0(0)             0             0        88354        229376         1.33          17           6
2015-11-02T02:46:58Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:47:18Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:47:38Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:47:58Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:48:18Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:48:38Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:48:58Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:49:18Z          31          26            5             0(0)       0(0)             0             0        88476        229376         1.33          17           6
2015-11-02T02:49:38Z          31          26            5             0(0)       0(0)             0             0        89828        229376         1.33          17           6
2015-11-02T02:49:58Z          31          26            5             0(0)       0(0)             0             0        89828        229376         1.33          17           6
2015-11-02T02:50:18Z          31          26            5             0(0)       0(0)             0             0        89950        229376         1.33          17           6
2015-11-02T02:50:38Z          31          26            5             0(0)       0(0)             0             0        89950        229376         1.33          17           6
2015-11-02T02:50:58Z          31          26            5             0(0)       0(0)             0             0        89950        229376         1.33          17           6
2015-11-02T02:51:18Z          31          26            5             0(0)       0(0)             0             0        89950        229376         1.33          17           6
2015-11-02T02:51:38Z          31          26            5             0(0)       0(0)             0             0        89950        229376         1.33          17           6
2015-11-02T02:51:58Z          31          26            5             0(0)       0(0)             0             0        90066        229376         1.33          17           6
2015-11-02T02:52:18Z          31          26            5             0(0)       0(0)             0             0        90066        229376         1.33          17           6
2015-11-02T02:52:38Z          31          26            5             0(0)       0(0)             0             0        90066        229376         1.33          17           6
2015-11-02T02:52:58Z          31          26            5             0(0)       0(0)             0             0        90066        229376         1.33          17           6
2015-11-02T02:53:18Z          31          26            5             0(0)       0(0)             0             0        90066        229376         1.33          17           6
2015-11-02T02:53:38Z          31          26            5             0(0)       0(0)             0             0        90188        229376         1.33          17           6
